City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Namibe,AO,75.13,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
2,Rikitea,PF,74.03,moderate rain,-23.1203,-134.9692,People ThankYou
3,Isla Aguada,MX,75.38,broken clouds,18.7833,-91.4667,Freedom Shores
4,Mareeba,AU,88.66,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
5,Koumac,NC,86.77,few clouds,-20.5667,164.2833,Le Monitel
6,Mataura,NZ,74.48,clear sky,-46.1927,168.8643,Ellie's Villa
7,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
14,Vaini,TO,81.63,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Meulaboh,ID,79.93,overcast clouds,4.1363,96.1285,Kost Pria
17,Cayenne,GF,76.08,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
19,Pangkalanbuun,ID,82.24,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
22,Cabo San Lucas,MX,73.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Vanimo,PG,84.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
29,Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
30,Kapaa,US,76.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Puerto Narino,CO,73.99,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
38,Mar Del Plata,AR,70.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
41,Jibuti,DJ,70.12,broken clouds,11.5,42.5,Orchid Main Camp Goubet
42,Saint-Georges,GD,76.44,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
44,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Tual,ID,81.28,moderate rain,-5.6667,132.75,Grand Vilia Hotel
53,Hithadhoo,MV,81.1,few clouds,-0.6,73.0833,Scoop Guest House
59,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
61,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
62,Nouakchott,MR,71.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN
77,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
80,Sabana De Torres,CO,77.27,scattered clouds,7.3915,-73.4957,Hotel el Milagro
82,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
87,Boa Vista,BR,83.95,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
97,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
98,Arraial Do Cabo,BR,76.5,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Celestun,MX,75.49,clear sky,20.8667,-90.4,Posada Lilia
101,Caramay,PH,81.12,broken clouds,10.1815,119.236,Peace and Love Beach Club
104,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
105,Natalio,PY,71.94,overcast clouds,-26.7167,-55.0833,Casa familia Sánchez
106,Busselton,AU,76.05,clear sky,-33.65,115.3333,Observatory Guest House
107,Souillac,MU,81.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
108,San Vicente,AR,72.09,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
109,Bluff,NZ,74.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
112,Badvel,IN,72.68,overcast clouds,14.75,79.05,UNS Residency Lodge A/c
114,Santa Isabel Do Rio Negro,BR,76.06,broken clouds,-0.4139,-65.0192,Hotel GSA
118,Aneho,TG,79.84,broken clouds,6.2333,1.6,Hotel La Linette
121,Grand-Santi,GF,71.89,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
123,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
127,Te Anau,NZ,72.43,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
132,Keti Bandar,PK,72.5,clear sky,24.1447,67.4497,Haji laloo memon house
133,Phitsanulok,TH,70.39,overcast clouds,16.9167,100.5,บ้านโนบิตะ พิษณุโลก
142,Kavaratti,IN,81.14,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
145,Flinders,AU,84.79,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
146,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
151,Takoradi,GH,79.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
152,Hua Hin,TH,82.0,overcast clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
159,Kahului,US,74.84,moderate rain,20.8947,-156.47,Maui Seaside Hotel
160,Carnarvon,AU,89.37,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
168,Alofi,NU,81.66,moderate rain,-19.0595,-169.9187,Taloa Heights
175,Bengkulu,ID,80.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
181,Port-Gentil,GA,81.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
196,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
199,Puerto Ayora,EC,77.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
200,Manta,EC,75.67,scattered clouds,-0.95,-80.7333,Balandra Hotel
205,Richards Bay,ZA,74.59,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
206,Andros Town,BS,74.32,few clouds,24.7,-77.7667,Hanks place
207,Bubaque,GW,76.77,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
209,Sur,OM,71.2,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
213,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
223,Rio Grande,BR,73.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
225,Lahat,ID,81.59,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
227,Anito,PH,78.08,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
230,Fuerte Olimpo,PY,83.57,clear sky,-21.0415,-57.8738,Hospedaje DAMI
233,Sragen,ID,80.98,overcast clouds,-7.4264,111.0222,Graha Hotel Sragen
235,Quelimane,MZ,75.2,moderate rain,-17.8786,36.8883,Hotel Flamingo
242,Antalaha,MG,76.6,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
244,Coahuayana,MX,73.99,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
245,Kavieng,PG,84.22,moderate rain,-2.5744,150.7967,Nusa Island Retreat
246,Iquique,CL,71.64,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
250,Pandan,PH,79.12,overcast clouds,14.0453,124.1694,Bonifacio Lodge
251,Ibitinga,BR,72.16,overcast clouds,-21.7578,-48.8289,Hotel Pousada Vivenda do Portal
253,Acapulco,MX,79.29,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
264,Yulara,AU,84.43,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
269,Kudahuvadhoo,MV,80.92,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
270,Soe,ID,77.77,overcast clouds,-9.8607,124.284,Dena Hotel
278,Gurupi,BR,71.22,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
279,Dakar,SN,70.68,broken clouds,14.6937,-17.4441,Novotel Dakar
280,Sao Jose Da Tapera,BR,77.47,broken clouds,-9.5583,-37.3811,Pousada Felicia
283,Mayumba,GA,77.04,moderate rain,-3.432,10.6554,LIKWALE LODGE
285,Puerto Carreno,CO,81.75,clear sky,6.189,-67.4859,Casa Hotel Victoria
287,Jaciara,BR,70.02,broken clouds,-15.9653,-54.9683,Taba Hotel
288,Mocuba,MZ,73.15,light rain,-16.8392,36.9856,Phama Lodge
290,Tanga,TZ,77.38,overcast clouds,-5.0667,39.1,Lulu Image Hotel
291,Tuatapere,NZ,74.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
292,Luganville,VU,85.77,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
299,Labuhan,ID,80.89,overcast clouds,-6.8844,112.2051,DoubleFAG
304,Kupang,ID,84.15,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
313,Banjar,ID,73.26,moderate rain,-8.19,114.9675,The Hamsa Resort
314,Maumere,ID,81.07,overcast clouds,-8.6199,122.2111,Sylvia Hotel
317,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
319,Vaitape,PF,81.37,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
321,Cidreira,BR,74.7,overcast clouds,-30.1811,-50.2056,Hotel Castelo
325,Vao,NC,80.17,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
326,Beruwala,LK,77.61,clear sky,6.4788,79.9828,The Palms Hotel
328,El Alto,PE,70.43,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
330,Muscat,OM,72.91,clear sky,23.6139,58.5922,Mutrah Hotel
332,Tabatinga,BR,73.67,overcast clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
334,Rio Brilhante,BR,74.52,clear sky,-21.8019,-54.5464,Hotel Cattani
337,Itaituba,BR,73.33,overcast clouds,-4.2761,-55.9836,Hotel Campos
341,Fougamou,GA,73.78,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
346,Lorengau,PG,82.85,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
