,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,63.28,75,99,4.92,overcast clouds
1,Namibe,AO,-15.1961,12.1522,75.13,84,100,8.75,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,74.03,86,100,8.32,moderate rain
3,Isla Aguada,MX,18.7833,-91.4667,75.38,86,66,12.84,broken clouds
4,Mareeba,AU,-17.0,145.4333,88.66,71,26,3.49,scattered clouds
5,Koumac,NC,-20.5667,164.2833,86.77,59,22,2.46,few clouds
6,Mataura,NZ,-46.1927,168.8643,74.48,36,5,3.15,clear sky
7,Avarua,CK,-21.2078,-159.775,80.65,83,40,17.27,light rain
8,Fort Nelson,CA,58.8053,-122.7002,-14.87,96,70,0.94,broken clouds
9,Castro,BR,-24.7911,-50.0119,63.25,83,7,3.62,clear sky
10,Bam,IR,29.106,58.357,60.98,36,15,7.85,few clouds
11,Kodiak,US,57.79,-152.4072,39.38,93,100,1.66,overcast clouds
12,Vestmannaeyjar,IS,63.4427,-20.2734,40.48,61,0,13.62,clear sky
13,Avera,US,33.194,-82.5271,53.11,61,7,6.4,clear sky
14,Vaini,TO,-21.2,-175.2,81.63,77,15,17.69,few clouds
15,Hamilton,US,39.1834,-84.5333,50.63,48,0,1.99,clear sky
16,Meulaboh,ID,4.1363,96.1285,79.93,72,95,3.09,overcast clouds
17,Cayenne,GF,4.9333,-52.3333,76.08,93,75,0.0,moderate rain
18,Kungurtug,RU,50.5994,97.5228,-1.59,95,87,1.5,overcast clouds
19,Pangkalanbuun,ID,-2.6833,111.6167,82.24,70,100,4.41,overcast clouds
20,Nanortalik,GL,60.1432,-45.2371,9.75,70,100,14.56,overcast clouds
21,Nyurba,RU,63.2842,118.3319,11.05,93,100,11.48,light snow
22,Cabo San Lucas,MX,22.8909,-109.9124,73.51,70,85,9.51,overcast clouds
23,Dikson,RU,73.5069,80.5464,16.92,94,100,17.02,light snow
24,Ushuaia,AR,-54.8,-68.3,43.16,71,87,3.38,overcast clouds
25,Vanimo,PG,-2.6741,141.3028,84.72,69,100,1.95,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,51.12,71,27,5.88,scattered clouds
27,Nshamba,TZ,-1.7983,31.5511,58.62,93,100,3.24,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,65.12,81,2,9.19,clear sky
29,Atuona,PF,-9.8,-139.0333,78.28,74,10,15.52,clear sky
30,Kapaa,US,22.0752,-159.319,76.48,59,1,5.01,clear sky
31,Excelsior Springs,US,39.3392,-94.2261,52.84,67,71,7.4,broken clouds
32,Alekseyevsk,RU,57.8406,108.3492,3.97,94,98,7.11,overcast clouds
33,Matagalpa,NI,12.9256,-85.9175,65.43,87,25,6.17,scattered clouds
34,Hilo,US,19.7297,-155.09,80.33,78,75,9.22,broken clouds
35,San Cristobal,VE,7.7669,-72.225,64.04,86,16,3.11,few clouds
36,Ponta Do Sol,PT,32.6667,-17.1,62.06,56,85,10.6,overcast clouds
37,Puerto Narino,CO,-3.7703,-70.3831,73.99,94,100,2.64,overcast clouds
38,Mar Del Plata,AR,-38.0023,-57.5575,70.09,83,0,10.36,clear sky
39,Kurya,RU,51.6003,82.2888,3.0,95,8,4.85,clear sky
40,Tasiilaq,GL,65.6145,-37.6368,23.16,67,100,14.16,overcast clouds
41,Jibuti,DJ,11.5,42.5,70.12,74,64,2.33,broken clouds
42,Saint-Georges,GD,12.0564,-61.7485,76.44,77,7,13.13,clear sky
43,Liaozhong,CN,41.5061,122.7242,19.89,34,1,12.3,clear sky
44,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,100,29.91,moderate rain
45,Maniitsoq,GL,65.4167,-52.9,-5.26,93,98,8.68,overcast clouds
46,Ekibastuz,KZ,51.6667,75.3667,16.65,86,89,8.88,overcast clouds
47,Tignere,CM,7.3667,12.65,63.16,21,80,1.63,broken clouds
48,Cape Town,ZA,-33.9258,18.4232,69.1,78,30,1.57,scattered clouds
49,Nouadhibou,MR,20.931,-17.0347,62.29,72,93,25.88,overcast clouds
50,Tual,ID,-5.6667,132.75,81.28,81,100,18.41,moderate rain
51,Lebu,CL,-37.6167,-73.65,56.52,87,3,12.41,clear sky
52,Pohrebyshche,UA,49.4864,29.2636,34.16,92,48,7.4,scattered clouds
53,Hithadhoo,MV,-0.6,73.0833,81.1,69,16,5.28,few clouds
54,Vilhena,BR,-12.7406,-60.1458,67.53,99,73,3.89,moderate rain
55,Batagay-Alyta,RU,67.8006,130.4114,-16.06,78,83,1.86,broken clouds
56,Muravlenko,RU,63.7898,74.523,10.15,92,100,15.75,overcast clouds
57,Kjollefjord,NO,70.9457,27.3465,20.62,84,100,5.75,overcast clouds
58,Guerrero Negro,MX,27.9769,-114.0611,60.48,63,3,13.82,clear sky
59,Galesong,ID,-5.3166,119.3661,75.22,81,100,17.47,moderate rain
60,Hermanus,ZA,-34.4187,19.2345,65.89,85,60,5.14,broken clouds
61,Bambous Virieux,MU,-20.3428,57.7575,81.21,85,100,28.16,light rain
62,Nouakchott,MR,18.0858,-15.9785,71.53,40,99,16.44,overcast clouds
63,Hofn,IS,64.2539,-15.2082,32.23,69,60,17.11,broken clouds
64,Fortuna,US,40.5982,-124.1573,48.18,78,25,8.01,scattered clouds
65,Riyadh,SA,24.6877,46.7219,54.55,47,0,12.97,clear sky
66,Port Hedland,AU,-20.3167,118.5667,95.05,49,5,5.75,clear sky
67,Albany,US,42.6001,-73.9662,32.81,48,3,1.01,clear sky
68,Gorin,RU,51.1983,136.6669,8.01,79,100,11.41,overcast clouds
69,Vilcun,CL,-38.65,-72.2333,49.48,84,3,3.67,clear sky
70,Boddam,GB,57.4667,-1.7833,39.11,73,52,15.08,broken clouds
71,Upernavik,GL,72.7868,-56.1549,-9.65,98,100,6.78,overcast clouds
72,Kyra,RU,49.5776,111.9753,-1.97,80,11,4.45,few clouds
73,Aklavik,CA,68.2191,-135.0107,-23.91,97,6,6.55,clear sky
74,Golden,US,39.7555,-105.2211,48.49,35,40,6.91,scattered clouds
75,Leningradskiy,RU,69.3833,178.4167,-29.34,99,67,4.23,broken clouds
76,Camacha,PT,33.0833,-16.3333,58.42,67,40,19.57,scattered clouds
77,Padang,ID,-0.9492,100.3543,82.45,67,96,2.3,overcast clouds
78,Tukrah,LY,32.5341,20.5791,57.56,60,51,11.9,broken clouds
79,Chokurdakh,RU,70.6333,147.9167,-37.71,100,51,3.62,broken clouds
80,Sabana De Torres,CO,7.3915,-73.4957,77.27,74,49,2.19,scattered clouds
81,Ponta Delgada,PT,37.7333,-25.6667,56.5,71,20,8.05,few clouds
82,The Valley,AI,18.217,-63.0578,77.09,72,6,19.55,clear sky
83,Isla Vista,US,34.4133,-119.861,59.83,76,100,4.61,haze
84,Torbay,CA,47.6666,-52.7314,25.75,75,19,15.88,few clouds
85,Tiksi,RU,71.6872,128.8694,-6.34,96,100,8.34,overcast clouds
86,Rawson,AR,-43.3002,-65.1023,55.81,68,98,23.96,overcast clouds
87,Boa Vista,BR,2.8197,-60.6733,83.95,52,86,8.23,overcast clouds
88,Rendsburg,DE,54.3,9.6667,44.02,59,98,28.77,light rain
89,Naze,JP,28.3667,129.4833,52.54,58,100,16.78,overcast clouds
90,Jalpan,MX,21.2333,-99.4833,66.29,74,3,2.13,clear sky
91,Lasa,IT,46.6166,10.7002,43.54,85,99,3.69,overcast clouds
92,New Norfolk,AU,-42.7826,147.0587,62.1,43,79,5.99,broken clouds
93,Kirensk,RU,57.7853,108.1119,4.26,94,99,6.98,overcast clouds
94,Barrow,US,71.2906,-156.7887,-20.18,63,0,14.97,haze
95,Kharan,PK,28.5833,65.4167,62.49,22,2,6.13,clear sky
96,Deputatskiy,RU,69.3,139.9,-25.53,91,7,3.67,clear sky
97,Georgetown,MY,5.4112,100.3354,84.13,82,20,5.01,few clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,76.5,89,100,11.83,overcast clouds
99,Celestun,MX,20.8667,-90.4,75.49,80,7,14.38,clear sky
100,Severo-Kurilsk,RU,50.6789,156.125,28.9,82,100,46.19,overcast clouds
